History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;34034;Hardware;2.05;Software;1.42;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in ¡C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
66137;13.10.2023;0;9405;94;97,6;18,8;47;28,6;30,5;94;;;;;
66137;13.10.2023;0;9404;96;98,4;17,8;42;28,7;29,9;96;;;;;
66137;13.10.2023;0;9403;95;98,9;17,2;45;31,1;32,6;95;;;;;
66137;13.10.2023;0;9402;99;99,4;14,5;37;29,9;30,1;99;;;;;
66137;13.10.2023;0;9401;107;99,6;14,1;25;32,1;30;107;;;;;
66137;13.10.2023;0;9400;103;98,7;13,2;31;31,1;30,1;103;;;;;
66137;12.10.2023;0;9399;95;98,1;13,5;48;28,5;30;95;;;;;
66137;12.10.2023;0;9398;98;98,7;19,2;33;29,5;30;98;;;;;
66137;12.10.2023;0;9397;98;98,9;19,6;8;29,4;29,8;98;;;;;
66137;12.10.2023;0;9396;100;99,2;19,8;39;32,4;32,4;100;;;;;
66137;12.10.2023;0;9395;94;99,2;19,6;46;28,3;30;94;;;;;
66137;12.10.2023;0;9394;101;100;19,5;31;30,4;30,1;101;;;;;
66137;12.10.2023;0;9393;93;99,8;18,2;46;27,8;30;93;;;;;
66137;12.10.2023;0;9392;102;100,8;16,2;33;30,6;30;102;;;;;
66137;12.10.2023;0;9391;98;100,5;15,6;33;29,6;30,3;98;;;;;
66137;12.10.2023;0;9390;107;100,8;15;24;32,2;30;107;;;;;
66137;12.10.2023;0;9389;102;100;14;28;30,3;29,8;102;;;;;
66137;12.10.2023;0;9388;99;99,7;13;20;30;30,2;99;;;;;
66137;12.10.2023;0;9387;107;99,8;12,5;20;32,3;30;107;;;;;
66137;12.10.2023;0;9386;106;99;12,3;13;29,8;28;106;;;;;
66137;12.10.2023;0;9385;98;98,1;12,1;43;29,3;30;98;;;;;
66137;12.10.2023;0;9384;112;98,6;11,7;27;33,7;30,2;112;;;;;
66137;11.10.2023;0;9383;95;97,3;17,5;47;28,5;30,1;95;;;;;
66137;11.10.2023;0;9382;93;97,7;17,5;48;28;30,1;93;;;;;
66137;11.10.2023;0;9381;96;98,5;17,5;43;28,9;30,1;96;;;;;
66137;11.10.2023;0;9380;99;99;18,6;41;29,7;30,2;99;;;;;
66137;11.10.2023;0;9379;97;99,2;18,5;39;31,8;32,6;97;;;;;
66137;11.10.2023;0;9378;98;99,5;17,4;41;29,4;30,1;98;;;;;
66137;11.10.2023;0;9377;104;99,7;17,1;32;31,5;30,2;104;;;;;
66137;11.10.2023;0;9376;107;99,4;16,7;11;33,9;31,8;107;;;;;
66137;10.10.2023;0;9375;100;98,3;18,6;42;30,8;30,7;100;;;;;
66137;10.10.2023;0;9374;95;98,2;19;43;29,4;31,1;95;;;;;
66137;10.10.2023;0;9373;107;98,9;19,3;26;32,8;30,5;107;;;;;
66137;10.10.2023;0;9372;102;98;18,8;35;31,9;31,1;102;;;;;
66137;10.10.2023;0;9371;109;97,8;19,1;33;33,9;31,2;109;;;;;
66137;10.10.2023;0;9370;100;96,6;19;39;30,1;30,1;100;;;;;
66137;10.10.2023;0;9369;107;96,7;19,6;33;33,4;31,2;107;;;;;
66137;10.10.2023;0;9368;103;95,9;19;40;32,1;31;103;;;;;
66137;10.10.2023;0;9367;89;95,3;19,3;62;27,1;30,6;89;;;;;
66137;10.10.2023;0;9366;86;96,6;18,3;39;26,1;30,2;86;;;;;
66137;10.10.2023;0;9365;101;98,3;16,7;40;31,5;31,2;101;;;;;
66137;10.10.2023;0;9364;98;98,2;16,4;41;30,4;31,1;98;;;;;
66137;10.10.2023;0;9363;92;98,4;15,7;48;27,6;30,1;92;;;;;
66137;10.10.2023;0;9362;100;99,4;15,4;44;30,1;30;100;;;;;
66137;10.10.2023;0;9361;105;99,5;13,2;29;31,7;30,2;105;;;;;
66137;09.10.2023;0;9360;99;98,9;15,1;42;29,5;29,9;99;;;;;
66137;09.10.2023;0;9359;103;99;15,8;16;30,6;29,8;103;;;;;
66137;09.10.2023;0;9358;94;98,5;15,3;45;28,1;30;94;;;;;
66137;09.10.2023;0;9357;94;99,2;15;50;28,1;30,1;94;;;;;
66137;09.10.2023;0;9356;97;99,9;15,9;40;29,2;30;97;;;;;
66137;09.10.2023;0;9355;103;100,3;15,4;32;30,9;30,1;103;;;;;
66137;09.10.2023;0;9354;109;100,1;14,4;0;35,1;32,2;109;;;;;
66137;09.10.2023;0;9353;103;99;14,2;32;31;30;103;;;;;
66137;09.10.2023;0;9352;95;98,5;13,7;47;29;30,6;95;;;;;
66137;09.10.2023;0;9351;104;99,2;13;28;30,9;29,6;104;;;;;
66137;09.10.2023;0;9350;98;98,6;12,9;37;31,7;32,2;98;;;;;
66137;09.10.2023;0;9349;98;98,9;12,8;41;29,7;30,2;98;;;;;
66137;09.10.2023;0;9348;97;99,1;12,6;42;29;30;97;;;;;
66137;09.10.2023;0;9347;100;99,4;11,9;41;30,5;30,5;100;;;;;
66137;09.10.2023;0;9346;108;99,5;11,2;24;32,2;30;108;;;;;
66137;09.10.2023;0;9345;106;98,7;10,4;29;32,4;30,4;106;;;;;
66137;08.10.2023;0;9344;102;97,7;14,8;40;30,6;30;102;;;;;
66137;08.10.2023;0;9343;95;97,5;17,3;48;28,6;30;95;;;;;
66137;08.10.2023;0;9342;98;98;17,3;38;29,3;30;98;;;;;
66137;08.10.2023;0;9341;99;98,3;17;42;30;30,3;99;;;;;
66137;08.10.2023;0;9340;98;98,5;16,5;30;29,6;30,2;98;;;;;
66137;08.10.2023;0;9339;105;98,8;17,2;31;32,1;30,6;105;;;;;
66137;08.10.2023;0;9338;104;98,2;19;29;33;31,7;104;;;;;
66137;08.10.2023;0;9337;100;97,7;18,5;36;29,4;29,4;100;;;;;
66137;08.10.2023;0;9336;94;97,6;17,3;45;28,2;30;94;;;;;
66137;08.10.2023;0;9335;97;98,3;16,7;38;29,2;30,1;97;;;;;
66137;08.10.2023;0;9334;97;98,6;15,5;44;29,6;30,6;97;;;;;
66137;08.10.2023;0;9333;106;99;13,6;28;32,7;30,9;106;;;;;
66137;08.10.2023;0;9332;103;98,3;12,2;30;31,2;30,4;103;;;;;
66137;08.10.2023;0;9331;100;97,9;10,4;39;30,5;30,6;100;;;;;
66137;07.10.2023;0;9330;103;98;14,6;37;31,7;30,7;103;;;;;
66137;07.10.2023;0;9329;97;97,5;14,5;40;29;30;97;;;;;
66137;07.10.2023;0;9328;100;97,9;14,8;36;29,8;29,7;100;;;;;
66137;07.10.2023;0;9327;96;97,9;14,9;46;28,8;30;96;;;;;
66137;07.10.2023;0;9326;108;98,4;15;9;32,3;30;108;;;;;